# index x y z
640 0.963983 0.40808 0.950817
641 0.966578 0.407842 0.949614
642 0.964884 0.407818 0.944209
643 0.96031 0.407939 0.936024
644 1.05242 0.401618 0.966673
645 1.06623 0.400792 0.975481
646 1.07267 0.400346 0.977498
647 1.07691 0.400013 0.977478
648 1.07819 0.399835 0.974763
649 1.07723 0.399773 0.97004
650 1.07775 0.399635 0.966665
651 1.07901 0.399458 0.963964
652 1.08102 0.399242 0.961932
653 1.08453 0.398947 0.96123
654 1.09255 0.398414 0.964501
655 1.1135 0.396861 0.967498
656 1.11479 0.396681 0.964772
657 1.11683 0.396461 0.962703
658 1.11812 0.396282 0.959981
659 1.12016 0.396062 0.957913
660 0.919506 0.409577 0.974147
661 0.927563 0.409063 0.978804
662 0.929436 0.408862 0.976909
663 0.932 0.408625 0.975737
664 0.933182 0.408459 0.973118
665 0.936443 0.408187 0.972664
666 0.938319 0.407985 0.970766
667 0.941588 0.407712 0.970304
668 0.945562 0.407402 0.970553
669 0.951643 0.406983 0.97294
670 0.955637 0.406671 0.973168
671 0.961747 0.406249 0.975525
672 0.964354 0.406008 0.97431
673 0.963438 0.40595 0.969543
674 0.963217 0.405856 0.965495
675 0.963696 0.405726 0.962163
676 0.964169 0.405596 0.958837
677 0.965348 0.40543 0.95622
678 0.966524 0.405265 0.953607
679 0.968411 0.405062 0.951697
680 0.966722 0.405047 0.946288
681 1.05431 0.398686 0.968683
682 1.06737 0.397868 0.97681
683 1.07308 0.39745 0.97815
684 1.07732 0.397112 0.978129
685 1.07712 0.397017 0.974069
686 1.07616 0.396963 0.969347
687 1.07518 0.396911 0.964636
688 1.07793 0.396654 0.963274
689 1.07994 0.396438 0.961244
690 1.0857 0.396015 0.962536
691 1.11188 0.39414 0.970204
692 1.11317 0.393962 0.967475
693 1.11597 0.3937 0.966061
694 1.11802 0.39348 0.96399
695 1.12006 0.39326 0.961918
696 1.12287 0.392997 0.960499
697 1.12645 0.392691 0.959727
698 1.12926 0.392427 0.958301
699 1.12978 0.392293 0.954928
700 1.12569 0.392419 0.947682
701 1.11542 0.392896 0.935298
702 0.925191 0.40652 0.976603
703 0.92844 0.406245 0.976163
704 0.931693 0.405969 0.975716
705 0.933568 0.405768 0.973819
706 0.93683 0.405491 0.973364
707 0.938707 0.405289 0.971464
708 0.941977 0.405012 0.971001
709 0.945951 0.404696 0.971249
710 0.951333 0.404304 0.972919
711 0.95813 0.403833 0.976002
712 0.964947 0.40336 0.979067
713 0.968968 0.40304 0.979267
714 0.967357 0.403027 0.97378
715 0.967145 0.402938 0.969724
716 0.966217 0.402889 0.96497
717 0.966697 0.402763 0.961638
718 0.967171 0.402637 0.958312
719 0.968351 0.402473 0.955694
720 0.970955 0.40223 0.954481
721 0.967844 0.402304 0.947666
722 1.05619 0.395742 0.970693
723 1.06926 0.394895 0.978816
724 1.07275 0.394594 0.978127
725 1.07625 0.394292 0.977433
726 1.0753 0.394245 0.972703
727 1.07434 0.3942 0.967983
728 1.07336 0.394156 0.963276
729 1.07462 0.393983 0.960582
730 1.07737 0.393725 0.959223
731 1.08237 0.393336 0.959855
732 1.11079 0.391284 0.969522
733 1.11208 0.391108 0.966794
734 1.11564 0.3908 0.966038
735 1.11768 0.39058 0.963967
736 1.11973 0.39036 0.961895
737 1.1233 0.39005 0.961128
738 1.12611 0.389785 0.959704
739 1.12893 0.389519 0.958278
740 1.13098 0.389298 0.9562
741 1.12843 0.389349 0.950245
742 1.12047 0.389721 0.939791
743 0.922133 0.404027 0.973676
744 0.926064 0.40371 0.973966
745 0.930695 0.403353 0.974971
746 0.933261 0.403112 0.973798
747 0.935828 0.402871 0.972622
748 0.938399 0.40263 0.971443
749 0.942366 0.402309 0.971698
750 0.946341 0.401987 0.971944
751 0.95382 0.401464 0.975759
752 0.963424 0.400819 0.981693
753 0.968846 0.400412 0.983321
754 0.970765 0.400205 0.981379
755 0.969864 0.400161 0.976598
756 0.969659 0.400078 0.972536
757 0.969445 0.399995 0.968483
758 0.969931 0.399872 0.965144
759 0.969702 0.399791 0.961107
760 0.9716 0.399587 0.959186
761 0.974924 0.3993 0.958667
762 0.973967 0.399262 0.953944
763 1.06176 0.392567 0.976089
764 1.07041 0.391954 0.980145
765 1.07316 0.391692 0.978779
766 1.07518 0.391475 0.976737
767 1.07423 0.391437 0.972008
768 1.07103 0.391534 0.96528
769 1.06856 0.391588 0.95924
770 1.07056 0.391373 0.957221
771 1.07255 0.391159 0.955203
772 1.07754 0.390763 0.955844
773 1.11045 0.388386 0.969499
774 1.1125 0.388166 0.967429
775 1.1153 0.3879 0.966015
