# index x y z
586 0.838516 1.20843 2.06023
587 0.841265 1.20813 2.05745
588 0.845721 1.20936 2.05882
589 0.84976 1.2102 2.05915
590 0.853808 1.21104 2.05947
591 0.857864 1.21189 2.05978
592 0.862361 1.21311 2.06111
593 0.866869 1.21433 2.06243
594 0.830993 1.21208 2.0909
595 0.831254 1.20951 2.08181
596 0.830659 1.20618 2.07064
597 0.831305 1.20399 2.06263
598 0.834049 1.20369 2.05985
599 0.838066 1.20453 2.0602
600 0.84124 1.20461 2.05846
601 0.84527 1.20545 2.05879
602 0.849737 1.20667 2.06016
603 0.853355 1.20713 2.05944
604 0.857411 1.20796 2.05974
605 0.861474 1.2088 2.06004
606 0.86598 1.21001 2.06137
607 0.83179 1.20928 2.09401
608 0.83122 1.20597 2.08282
609 0.831047 1.20303 2.0727
610 0.831697 1.20085 2.06469
611 0.834867 1.20093 2.06295
612 0.838463 1.20139 2.06225
613 0.841639 1.20147 2.06051
614 0.845245 1.20193 2.0598
615 0.849712 1.20313 2.06116
616 0.852903 1.20321 2.0594
617 0.857819 1.2048 2.06178
618 0.86102 1.20487 2.06001
619 0.865958 1.20645 2.06237
620 0.831751 1.20573 2.09503
621 0.831185 1.20243 2.08384
622 0.830596 1.19913 2.07267
623 0.831668 1.19733 2.0657
624 0.834839 1.19741 2.06396
625 0.838012 1.19749 2.06222
626 0.841613 1.19794 2.06152
627 0.84522 1.1984 2.06081
628 0.849688 1.1996 2.06217
629 0.852879 1.19967 2.06041
630 0.856935 1.2005 2.06072
631 0.860566 1.20095 2.05998
632 0.865503 1.20252 2.06234
633 0.83088 1.20142 2.09395
634 0.829479 1.19739 2.08066
635 0.829726 1.19485 2.07159
636 0.831217 1.19344 2.06567
637 0.833966 1.19314 2.06289
638 0.837985 1.19396 2.06323
639 0.841587 1.19441 2.06253
640 0.844342 1.19412 2.05974
641 0.849663 1.19605 2.06318
642 0.853713 1.19687 2.06349
643 0.857772 1.19769 2.06379
644 0.861407 1.19814 2.06305
645 0.830426 1.19749 2.09392
646 0.828609 1.1931 2.07959
647 0.829694 1.19132 2.07261
648 0.830767 1.18954 2.06564
649 0.834359 1.18999 2.06495
650 0.837534 1.19006 2.0632
651 0.841135 1.19051 2.0625
652 0.844743 1.19095 2.06179
653 0.850064 1.19288 2.06522
654 0.853688 1.19332 2.06449
